0, 2
7410,24
7469,4
15086,45
15135,5
15276,54
15345,4
17095,40
17134,0
19981,04
20071,4
21049,42
21117,2
21837,21
22021,1
22861,12
22928,2
23065,20
23135,0
23238,02
23281,2
25201,21
25313,1
47022,12
47145,2
49102,21
49159,1
50211,12
50269,2
59629,20
59863,0
60797,03
60855,3
61920,30
61976,0
65096,05
65243,5
75096,52
75201,2
75913,24
75989,4
78435,42
78580,2
78644,24
78715,4
78906,42
78949,2
79105,24
79187,4
79577,42
79610,2
79730,24
79768,4
95955,45
96010,5
96034,53
96179,3
96244,35
96360,5
96370,54
96593,4
101447,40
101484,0
101605,04
101824,4
104682,45
104723,5
104745,53
104810,3
105137,34
105215,4
105913,40
105947,0
105998,04
106067,4
107991,4
