0, 3
1148,35
1186,5
1265,53
1322,3
4916,35
4953,5
5896,53
5928,3
6416,35
6461,5
6959,53
6999,3
8209,35
8239,5
8291,53
8324,3
11838,35
11884,5
12180,53
12216,3
13472,35
13507,5
14174,53
14225,3
14858,35
14933,5
15834,53
15862,3
17006,35
17018,5
17097,53
17563,3
17580,35
17615,5
17662,53
18674,32
18709,2
23423,23
23469,3
24896,32
24934,2
39816,23
39867,3
40511,35
40634,5
40775,53
40907,3
40984,34
41034,4
41280,45
42271,5
72109,52
72156,2
73720,23
73766,3
74034,32
74071,2
75834,23
75873,3
85353,34
85412,4
85749,43
85791,3
86208,30
86243,0
86307,03
86339,3
87875,30
87912,0
88003,03
91173,32
91323,2
95283,20
95491,05
95763,5
96402,52
96513,2
97473,23
97575,3
97708,35
97768,5
97834,53
98160,35
98235,5
106101,50
106142,0
106219,05
106254,5
106348,52
106439,2
106486,25
106586,5
107906,3
