0, 1
10018,12
10164,2
10210,20
10382,2
10601,20
10633,2
12346,20
12437,2
13201,20
13295,2
14408,25
14533,5
16698,52
16740,2
41904,20
42048,2
42148,20
42387,2
43133,20
43424,2
43629,20
43724,2
44396,20
44569,0
44593,02
44638,2
48125,20
48167,0
48568,02
48614,2
50275,20
50312,0
50528,02
50621,2
55386,20
55532,2
55801,20
55895,2
56194,25
56311,5
56375,52
56465,2
56496,20
56768,2
57620,25
57766,5
58087,52
58157,2
70731,25
70790,5
71026,53
71050,3
79800,32
79880,2
80012,23
80063,3
80533,32
80554,2
80587,20
80881,0
81143,02
81168,25
81278,5
83788,53
83878,3
83998,32
84034,2
85082,23
85113,3
89284,30
89294,0
89524,3
92700,32
92772,2
93035,20
93112,0
93135,03
93228,3
95711,35
95750,5
96044,53
96091,3
99294,35
99378,5
99454,53
99486,3
102169,35
102207,5
102693,53
102753,3
104361,35
104409,5
104875,53
104898,3
105666,35
105720,5
106492,53
106519,3
107999,3
