0, 3
12070,30
12116,0
12222,03
12282,3
22898,30
22967,0
23201,03
23275,3
28337,35
28400,5
29425,53
29505,3
36226,30
36252,0
36292,03
36364,3
43153,35
43209,5
43519,53
43587,3
48885,30
48965,0
49510,03
49644,3
57258,35
57293,5
57486,53
57564,3
58884,35
58921,5
60412,53
60474,3
64689,35
64754,5
67124,53
67201,3
68950,35
69000,5
70009,53
70045,3
71270,35
71346,5
71450,53
71505,3
74124,35
74194,5
75373,53
75427,3
76217,35
77230,53
77319,3
81432,30
81501,0
82069,03
82197,3
90055,32
90102,2
91616,20
91672,0
91748,02
91772,2
92409,20
92469,02
92495,2
92902,23
92951,3
95226,35
95279,5
95618,53
95648,3
95801,30
95839,0
95881,03
95962,3
106065,32
106110,2
107861,20
107917,0
107962,02
107971,2
107999,2
