0, 3
3099,35
3137,5
11054,53
11161,35
11194,5
12793,54
12833,4
12920,43
13085,3
15830,34
15866,4
15952,43
16181,3
17866,34
17910,4
17959,45
17989,5
17997,54
18029,4
18047,43
18081,3
22738,35
22773,5
23589,54
23665,4
36639,43
36687,3
45294,34
45349,4
45634,43
45673,3
45707,32
45752,2
46337,24
46409,4
46458,3
47859,35
47926,5
48013,53
48084,3
57485,30
57534,0
58550,02
58597,2
71118,23
71173,3
71378,32
71413,2
73979,25
74048,5
74182,50
74237,0
74271,03
75317,40
75320,34
75380,0
75506,02
75526,23
75550,32
75580,2
75601,23
75630,3
107999,3
