0, 3
3099,35
3137,5
3206,53
3242,3
3503,35
3545,5
3606,53
3650,3
8155,35
8187,5
8310,53
8377,3
10817,35
10867,5
11054,53
11161,35
11194,5
11678,53
11795,3
12344,35
12401,5
12723,53
12757,3
12793,34
12833,4
12920,43
13085,3
15830,34
15866,4
15952,43
16181,3
17866,34
17910,4
17959,43
17989,3
17997,34
18029,4
18047,43
18081,3
22738,35
22773,5
23589,53
23665,3
36503,34
36544,4
36639,43
36687,3
45294,34
45349,4
45634,43
45673,3
45707,32
45752,2
46337,24
46409,4
46458,3
47859,35
47926,5
48013,53
48084,3
57485,30
57534,0
58550,02
58597,2
62461,2
71118,23
71173,3
71378,32
71413,2
73979,23
74048,3
74182,30
74237,0
74271,03
75320,34
75317,40
75380,0
75506,02
75526,23
75550,32
75580,2
75601,23
75630,3
101178,3
107999,3
